CAMIS,Now_Crit,CUISINE,BORO,ZIPCODE,CBoard,Past_Crit
30075445,True,Bakery Products/Desserts,Bronx,10462.0,211.0,True
30112340,True,Hamburgers,Brooklyn,11225.0,309.0,True
30191841,True,Irish,Manhattan,10019.0,104.0,True
40356018,True,American,Brooklyn,11224.0,313.0,True
40356483,False,Sandwiches,Brooklyn,11234.0,318.0,True
40356731,True,Frozen Desserts,Brooklyn,11226.0,317.0,True
40357217,True,American,Bronx,10460.0,206.0,True
40359480,True,American,Manhattan,10065.0,108.0,True
40359705,True,Hotdogs,Brooklyn,11224.0,313.0,True
40360045,True,Jewish/Kosher,Brooklyn,11223.0,315.0,True
40360076,False,Frozen Desserts,Brooklyn,11218.0,312.0,True
40361618,True,Sandwiches,Queens,11356.0,407.0,True
40361998,True,Sandwiches,Queens,11106.0,401.0,True
40362264,True,American,Manhattan,10025.0,107.0,True
40362274,True,American,Manhattan,10012.0,102.0,True
40362432,True,Chinese,Queens,11368.0,403.0,True
40362869,True,Caribbean,Brooklyn,11203.0,317.0,True
40363298,False,American,Manhattan,10018.0,104.0,True
40363427,True,Sandwiches,Staten Island,10314.0,501.0,True
40363834,True,Frozen Desserts,Staten Island,10305.0,502.0,True
40363920,False,Chinese,Brooklyn,11212.0,317.0,True
40364179,True,Soul Food,Manhattan,10025.0,107.0,True
40364220,True,Jewish/Kosher,Brooklyn,11230.0,314.0,True
40364296,True,Chinese,Bronx,10458.0,207.0,True
40364305,False,Pizza,Brooklyn,11209.0,310.0,True
40364335,True,Steakhouse,Brooklyn,11211.0,301.0,True
40364347,True,American,Manhattan,10022.0,108.0,True
40364373,True,Italian,Manhattan,10065.0,108.0,True
40364389,True,American,Manhattan,10003.0,105.0,True
40364404,True,Polish,Brooklyn,11222.0,301.0,True
40364439,True,Latin American,Manhattan,10014.0,102.0,True
40364443,True,American,Manhattan,10013.0,101.0,True
40364449,True,German,Queens,11385.0,405.0,True
40364467,True,American,Manhattan,10019.0,105.0,True
40364518,True,American,Manhattan,10009.0,103.0,True
40364531,True,American,Manhattan,10019.0,105.0,True
40364572,True,Steakhouse,Manhattan,10065.0,108.0,True
40364581,True,American,Brooklyn,11201.0,302.0,True
40364668,True,Italian,Manhattan,10016.0,106.0,True
40364715,True,American,Manhattan,10011.0,104.0,True
40364744,True,Pizza,Queens,11414.0,410.0,True
40364858,False,American,Queens,11363.0,411.0,True
40364956,True,American,Bronx,10462.0,209.0,True
40365013,True,Italian,Staten Island,10305.0,502.0,True
40365075,True,Irish,Manhattan,10003.0,103.0,True
40365120,True,American,Staten Island,10309.0,503.0,False
40365166,True,American,Manhattan,10014.0,102.0,True
40365226,True,Donuts,Brooklyn,11226.0,317.0,True
40365239,True,Irish,Manhattan,10028.0,108.0,True
40365264,True,French,Manhattan,10022.0,105.0,True
40365288,True,American,Manhattan,10017.0,106.0,False
40365387,True,Italian,Manhattan,10012.0,102.0,True
40365499,True,American,Bronx,10451.0,204.0,True
40365525,True,Donuts,Manhattan,10011.0,104.0,True
40365546,True,American,Brooklyn,11211.0,301.0,True
40365577,True,Italian,Manhattan,10025.0,109.0,True
40365627,True,American,Queens,11372.0,403.0,True
40365632,True,Pizza,Brooklyn,11204.0,311.0,True
40365644,True,American,Manhattan,10036.0,104.0,False
40365726,True,Italian,Manhattan,11691.0,414.0,True
40365784,True,Italian,Brooklyn,11224.0,313.0,True
40365789,True,Italian,Manhattan,10019.0,105.0,True
40365841,True,Italian,Queens,11368.0,404.0,True
40365844,True,Other,Queens,11103.0,401.0,True
40365871,True,American,Manhattan,10022.0,106.0,True
40365882,True,Pizza,Manhattan,10001.0,104.0,True
40365904,True,Coffee/Tea,Manhattan,10013.0,103.0,True
40365938,True,American,Queens,11001.0,413.0,True
40365942,True,Chinese,Manhattan,10013.0,103.0,True
40365968,True,American,Manhattan,10013.0,101.0,True
40365972,True,American,Queens,11435.0,412.0,True
40366002,True,Pizza,Queens,11432.0,412.0,True
40366054,True,American,Queens,11694.0,414.0,True
40366109,True,American,Brooklyn,11215.0,306.0,False
40366132,True,Pizza,Staten Island,10302.0,501.0,True
40366154,True,Italian,Brooklyn,11229.0,315.0,True
40366222,True,Irish,Manhattan,10005.0,101.0,True
40366230,True,Italian,Queens,11420.0,410.0,True
40366356,True,American,Queens,11697.0,414.0,True
40366471,True,American,Brooklyn,11235.0,315.0,False
40366473,True,Seafood,Manhattan,10014.0,102.0,False
40366487,True,American,Brooklyn,11229.0,315.0,False
40366497,True,American,Bronx,10463.0,208.0,True
40366543,True,Chinese,Queens,11368.0,403.0,True
40366574,False,Irish,Manhattan,10006.0,101.0,True
40366586,True,Jewish/Kosher,Queens,11367.0,408.0,True
40366652,False,Pizza,Brooklyn,11201.0,302.0,True
40366661,True,Tex-Mex,Manhattan,10016.0,106.0,True
40366711,True,American,Staten Island,10310.0,501.0,True
40366716,True,Chinese,Manhattan,10022.0,106.0,True
40366742,True,Bottled Beverages,Brooklyn,11229.0,315.0,True
40366812,False,Italian,Queens,11427.0,413.0,True
40366879,True,Latin American,Queens,11373.0,404.0,True
40366928,True,American,Staten Island,10304.0,502.0,False
40366938,True,Coffee/Tea,Bronx,10462.0,209.0,True
40366961,True,Soul Food,Brooklyn,11238.0,308.0,True
40367005,True,Pizza,Brooklyn,11204.0,311.0,True
40367038,True,Mexican,Manhattan,10010.0,106.0,True
40367161,True,American,Bronx,10465.0,210.0,True
40367179,True,Irish,Manhattan,10001.0,104.0,True
40367189,True,American,Manhattan,10013.0,102.0,True
40367232,False,Irish,Queens,11105.0,401.0,True
40367240,True,Bottled Beverages,Queens,11691.0,414.0,True
40367241,True,American,Manhattan,10021.0,108.0,True
40367338,True,American,Manhattan,10019.0,105.0,True
40367339,False,American,Manhattan,10019.0,105.0,True
40367365,True,American,Manhattan,10019.0,104.0,True
40367373,True,Hamburgers,Manhattan,10065.0,108.0,True
40367377,False,German,Queens,11385.0,405.0,True
40367442,True,American,Staten Island,10302.0,501.0,True
40367534,False,Jewish/Kosher,Manhattan,10018.0,105.0,True
40367728,True,Italian,Manhattan,10022.0,106.0,True
40367749,True,Seafood,Queens,11414.0,410.0,True
40367752,True,American,Manhattan,10065.0,108.0,True
40367789,True,Pizza,Queens,11415.0,409.0,True
40367790,False,Hamburgers,Brooklyn,11226.0,314.0,True
40367841,True,Italian,Manhattan,10023.0,107.0,True
40367860,True,Pizza,Brooklyn,11223.0,315.0,True
40367870,True,Pizza,Queens,11354.0,407.0,True
40368018,True,American,Bronx,10460.0,206.0,True
40368021,False,American,Bronx,10460.0,206.0,False
40368022,True,Coffee/Tea,Bronx,10460.0,206.0,True
40368025,True,American,Bronx,10460.0,206.0,False
40368026,True,African,Bronx,10460.0,206.0,True
40368034,True,Italian,Staten Island,10301.0,501.0,False
40368157,True,American,Manhattan,10011.0,102.0,True
40368207,True,Jewish/Kosher,Brooklyn,11234.0,318.0,True
40368223,True,Seafood,Manhattan,10017.0,105.0,True
40368271,True,Bottled Beverages,Manhattan,10009.0,103.0,True
40368291,True,American,Staten Island,10306.0,502.0,True
40368313,True,American,Manhattan,10036.0,105.0,True
40368318,True,American,Manhattan,10017.0,105.0,True
40368338,True,American,Manhattan,10028.0,108.0,True
40368374,True,American,Manhattan,10036.0,105.0,True
40368526,False,Italian,Brooklyn,11211.0,301.0,True
40368555,True,Italian,Manhattan,10013.0,102.0,True
40368577,True,American,Brooklyn,11218.0,312.0,False
40368581,True,Bottled Beverages,Manhattan,10014.0,102.0,True
40368632,True,American,Brooklyn,11228.0,310.0,True
40368725,True,Spanish,Manhattan,10011.0,104.0,True
40368752,False,French,Manhattan,10012.0,102.0,True
40368763,False,American,Manhattan,10022.0,105.0,True
40368801,True,Latin American,Queens,11361.0,411.0,True
40368809,True,American,Queens,11366.0,408.0,True
40368824,True,American,Manhattan,10022.0,108.0,True
40368897,True,Japanese,Manhattan,10017.0,105.0,True
40369012,True,Pizza,Queens,11367.0,408.0,True
40369016,True,Greek,Manhattan,10065.0,108.0,True
40369051,True,Coffee/Tea,Queens,11691.0,414.0,True
40369087,True,American,Bronx,10463.0,208.0,True
40369158,True,American,Staten Island,10301.0,501.0,False
40369165,True,American,Manhattan,10128.0,108.0,True
40369213,True,American,Queens,11354.0,407.0,True
40369262,True,Pizza,Queens,11373.0,404.0,False
40369299,True,Seafood,Bronx,10464.0,210.0,True
40369418,True,Italian,Manhattan,10012.0,102.0,True
40369461,True,French,Manhattan,10036.0,105.0,True
40369482,False,Pizza,Brooklyn,11239.0,305.0,True
40369521,True,American,Manhattan,10003.0,102.0,True
40369608,True,American,Brooklyn,11201.0,302.0,True
40369619,True,American,Manhattan,10007.0,101.0,True
40369641,True,Seafood,Bronx,10464.0,210.0,True
40369667,True,Hamburgers,Brooklyn,11213.0,309.0,True
40369669,True,Hamburgers,Bronx,10467.0,211.0,False
40369675,False,Hamburgers,Queens,11104.0,402.0,True
40369716,True,Italian,Brooklyn,11231.0,306.0,True
40369782,True,Hamburgers,Brooklyn,11203.0,317.0,True
40369849,True,Pizza,Queens,11364.0,411.0,True
40369878,True,Italian,Manhattan,10012.0,102.0,True
40369958,False,Steakhouse,Manhattan,10017.0,106.0,True
40369983,True,American,Queens,11432.0,408.0,False
40370015,True,Italian,Brooklyn,11211.0,301.0,True
40370150,True,American,Bronx,10470.0,212.0,True
40370167,False,Hamburgers,Queens,11361.0,411.0,True
40370168,True,American,Manhattan,10013.0,102.0,True
40370238,True,Hamburgers,Queens,11377.0,403.0,True
40370436,True,Italian,Manhattan,10016.0,106.0,True
40370463,True,American,Manhattan,10021.0,108.0,True
40370507,True,American,Manhattan,10003.0,106.0,True
40370766,True,American,Manhattan,10017.0,106.0,True
40370781,True,Hamburgers,Queens,11357.0,407.0,True
40370856,True,American,Manhattan,10012.0,102.0,True
40370939,True,Italian,Queens,11101.0,402.0,False
40371454,True,American,Manhattan,10036.0,104.0,False
40371614,True,French,Queens,11362.0,411.0,True
40371684,True,Jewish/Kosher,Brooklyn,11204.0,312.0,True
40371718,False,American,Manhattan,10002.0,103.0,True
40371727,True,Italian,Brooklyn,11204.0,311.0,True
40371805,True,Bottled Beverages,Manhattan,10014.0,102.0,True
40371906,True,American,Brooklyn,11234.0,318.0,True
40371988,True,American,Queens,11358.0,411.0,True
40372112,True,American,Brooklyn,11209.0,310.0,True
40372196,True,Hamburgers,Bronx,10465.0,210.0,True
40372262,True,French,Manhattan,10014.0,102.0,False
40372357,True,Italian,Staten Island,10308.0,503.0,True
40372417,True,Italian,Manhattan,10075.0,108.0,True
40372422,False,Hamburgers,Queens,11374.0,406.0,False
40372426,True,Italian,Queens,11104.0,402.0,True
40372445,False,Greek,Queens,11106.0,401.0,True
40372466,True,American,Manhattan,10019.0,105.0,True
40372485,False,American,Brooklyn,11229.0,315.0,True
40372596,True,Bakery Products/Desserts,Brooklyn,11213.0,308.0,True
40372618,True,Hamburgers,Queens,11434.0,412.0,True
40372631,True,Pizza,Bronx,10472.0,209.0,True
40372694,True,Italian,Queens,11357.0,407.0,True
40372971,True,American,Manhattan,10022.0,105.0,False
40373113,True,American,Manhattan,10019.0,105.0,True
40373118,True,American,Staten Island,10312.0,503.0,True
40373160,True,Pizza,Brooklyn,11218.0,312.0,False
40373462,True,Italian,Manhattan,10016.0,106.0,True
40373500,True,Latin American,Manhattan,10019.0,105.0,True
40373597,True,Pizza,Brooklyn,11209.0,310.0,True
40373656,True,Steakhouse,Manhattan,10018.0,105.0,True
40373669,True,American,Manhattan,10016.0,106.0,False
40373888,True,Italian,Manhattan,10012.0,102.0,True
40373909,True,Hamburgers,Brooklyn,11203.0,317.0,True
40373912,True,American,Manhattan,10012.0,102.0,True
40373937,True,Chinese,Manhattan,10023.0,107.0,True
40374088,True,Thai,Manhattan,10036.0,105.0,True
40374136,True,Seafood,Bronx,10464.0,210.0,True
40374192,True,Italian,Manhattan,10028.0,108.0,True
40374266,True,Irish,Manhattan,10001.0,105.0,False
40374277,True,Irish,Manhattan,10001.0,105.0,True
40374395,True,Italian,Brooklyn,11234.0,318.0,True
40374415,True,Japanese,Manhattan,10012.0,102.0,True
40374711,True,Irish,Manhattan,10019.0,105.0,False
40374834,True,Italian,Manhattan,10013.0,102.0,True
40374974,True,French,Manhattan,10019.0,104.0,True
40375108,True,American,Brooklyn,11249.0,301.0,True
40375286,True,Pizza,Queens,11414.0,410.0,True
40375369,True,Pizza,Queens,11417.0,410.0,True
40375616,True,Italian,Manhattan,10028.0,108.0,True
40375699,True,Italian,Manhattan,10011.0,102.0,True
40375839,True,American,Manhattan,10003.0,102.0,True
40375929,True,Italian,Brooklyn,11214.0,311.0,True
40376077,True,Greek,Queens,11361.0,411.0,True
40376142,True,Italian,Manhattan,10075.0,108.0,True
40376204,True,Italian,Queens,11375.0,406.0,True
40376290,True,American,Staten Island,10310.0,501.0,True
40376352,True,American,Manhattan,10012.0,102.0,True
40376493,True,Seafood,Manhattan,10016.0,106.0,True
40376495,True,Italian,Brooklyn,11231.0,306.0,True
40376496,True,American,Manhattan,10014.0,102.0,True
40376515,False,American,Manhattan,10024.0,251.08870880214175,True
40376583,False,American,Staten Island,11691.0,414.0,True
40376635,True,Mediterranean,Brooklyn,11201.0,306.0,True
40376718,True,Sandwiches,Manhattan,10021.0,108.0,True
40376735,True,Irish,Manhattan,10019.0,105.0,True
40376944,True,Japanese,Manhattan,10012.0,102.0,True
40377124,True,Seafood,Bronx,10464.0,210.0,True
40377243,True,Pizza,Bronx,10462.0,211.0,True
40377262,False,Pizza,Staten Island,10309.0,503.0,True
40377294,True,Hamburgers,Queens,11385.0,405.0,True
40377325,True,Hamburgers,Manhattan,10016.0,106.0,True
