index,CUISINE
Afghan,4
African,20
American,2336
Armenian,2
Asian/Asian Fusion,177
Australian,15
Bagels/Pretzels,60
Bakery Products/Desserts,234
Bangladeshi,2
Barbecue,25
Basque,1
Bottled Beverages,59
Brazilian,10
Californian,2
Caribbean,43
Chicken,134
Chinese,433
Chinese/Cuban,9
Chinese/Japanese,16
Coffee/Tea,863
Continental,20
Creole,2
Creole/Cajun,2
Donuts,159
Eastern European,18
Egyptian,5
English,9
Ethiopian,12
Filipino,5
French,214
Frozen Desserts,106
Fruits/Vegetables,3
Fusion,8
German,10
Greek,52
Hamburgers,129
Hawaiian,19
Hotdogs,15
Hotdogs/Pretzels,17
Indian,127
Indonesian,2
Iranian,1
Irish,102
Italian,520
Japanese,440
Jewish/Kosher,69
"Juice, Smoothies, Fruit Salads",154
Korean,114
Latin American,161
Lebanese,3
Mediterranean,136
Mexican,247
Middle Eastern,42
Moroccan,4
New American,14
New French,1
Not Listed/Not Applicable,6
Nuts/Confectionary,9
Other,153
Pakistani,6
Pancakes/Waffles,5
Peruvian,15
Pizza,415
Polish,4
Portuguese,4
Russian,11
Salads,78
Sandwiches,168
Sandwiches/Salads/Mixed Buffet,64
Scandinavian,5
Seafood,102
Soul Food,13
Soups,7
Soups/Salads/Sandwiches,47
Southeast Asian,32
Spanish,111
Steakhouse,56
Tapas,22
Tex-Mex,130
Thai,135
Turkish,20
Vegan,37
Vegetarian,41
