index,count,SCORE
Afghan,4,16.75
African,20,17.65
American,2336,12.021841541755888
Armenian,2,5.5
Asian/Asian Fusion,177,13.898305084745763
Australian,15,12.2
Bagels/Pretzels,60,12.25
Bakery Products/Desserts,234,12.952991452991453
Bangladeshi,2,14.5
Barbecue,25,12.96
Basque,1,18.0
Bottled Beverages,59,9.627118644067796
Brazilian,10,14.3
Californian,2,23.5
Caribbean,43,14.534883720930232
Chicken,134,12.58955223880597
Chinese,433,16.369515011547342
Chinese/Cuban,9,13.88888888888889
Chinese/Japanese,16,19.25
Coffee/Tea,863,10.293163383545771
Continental,20,9.65
Creole,2,7.5
Creole/Cajun,2,15.5
Donuts,159,10.044025157232705
Eastern European,18,10.61111111111111
Egyptian,5,12.4
English,9,20.88888888888889
Ethiopian,12,12.833333333333334
Filipino,5,16.0
French,214,13.766355140186915
Frozen Desserts,106,11.11320754716981
Fruits/Vegetables,3,17.666666666666668
Fusion,8,15.625
German,10,12.6
Greek,52,12.423076923076923
Hamburgers,129,10.821705426356589
Hawaiian,19,12.105263157894736
Hotdogs,15,8.133333333333333
Hotdogs/Pretzels,17,9.0
Indian,127,17.236220472440944
Indonesian,2,16.5
Iranian,1,11.0
Irish,102,13.617647058823529
Italian,520,13.273076923076923
Japanese,440,14.168181818181818
Jewish/Kosher,69,15.159420289855072
"Juice, Smoothies, Fruit Salads",154,12.35064935064935
Korean,114,14.140350877192983
Latin American,161,17.15527950310559
Lebanese,3,11.0
Mediterranean,136,14.801470588235293
Mexican,247,14.708502024291498
Middle Eastern,42,11.571428571428571
Moroccan,4,18.25
New American,14,11.857142857142858
New French,1,40.0
Not Listed/Not Applicable,6,13.5
Nuts/Confectionary,9,5.0
Other,153,12.065359477124183
Pakistani,6,11.166666666666666
Pancakes/Waffles,5,19.6
Peruvian,15,16.866666666666667
Pizza,415,14.250602409638555
Polish,4,10.75
Portuguese,4,8.0
Russian,11,17.0
Salads,78,10.256410256410257
Sandwiches,168,13.422619047619047
Sandwiches/Salads/Mixed Buffet,64,12.546875
Scandinavian,5,9.2
Seafood,102,14.480392156862745
Soul Food,13,16.0
Soups,7,10.571428571428571
Soups/Salads/Sandwiches,47,8.0
Southeast Asian,32,18.34375
Spanish,111,15.315315315315315
Steakhouse,56,14.553571428571429
Tapas,22,14.0
Tex-Mex,130,10.107692307692307
Thai,135,16.274074074074075
Turkish,20,10.85
Vegan,37,16.945945945945947
Vegetarian,41,11.439024390243903
